Time [s],C3,C4
0,6797,6855
4,6899,6921
8,6961,6863
12,6996,6987
16,7053,7012
20,7137,7118
24,7177,7165
28,7309,7169
32,7299,7307
36,7395,7368
40,7449,7386
44,7448,7528
48,7508,7545
52,7610,7528
56,7682,7657
60,7690,7751
64,7708,7785
68,7769,7840
72,7872,7866
76,7994,7884
80,7990,7982
84,8118,8023
88,8133,8155
92,8155,8169
96,8310,8269
100,8404,8377
104,8397,8358
108,8423,8481
112,8508,8475
116,8542,8619
120,8727,8650
124,8691,8762
128,8737,8804
132,8806,8867
136,8846,8963
140,8977,8963
144,9027,9092
148,9166,9135
152,9080,9148
156,9178,9227
160,9229,9279
164,9270,9362
168,9326,9438
172,9407,9493
176,9512,9577
180,9617,9558
184,9570,9691
188,9658,9824
192,9772,9836
196,9754,9920
200,9848,10000
204,9928,9935
208,9999,10097
212,9989,10191
216,10124,10210
220,10237,10295
224,10298,10272
228,10311,10393
232,10327,10498
236,10396,10500
240,10491,10584
244,10578,10694
248,10777,10685
252,10659,10755
256,10823,10956
260,10874,11021
264,10897,11026
268,10998,11081
272,10940,11103
276,11073,11116
280,11136,11278
284,11181,11311
288,11201,11443
292,11345,11346
296,11319,11580
300,11373,11555
304,11563,11493
308,11693,11740
312,11692,11711
316,11691,11846
320,11794,11932
324,11829,11952
328,11920,12088
332,11925,12105
336,12018,12158
340,11987,12132
344,12072,12290
348,12156,12312
352,12254,12379
356,12364,12495
360,12470,12551
364,12460,12579
368,12535,12617
372,12521,12850
376,12742,12804
380,12694,12921
384,12745,12893
388,12841,12968
392,12805,13124
396,12968,13204
400,13010,13192
404,13040,13214
408,13184,13372
412,13141,13452
416,13282,13360
420,13290,13505
424,13299,13526
428,13424,13655
432,13570,13715
436,13511,13920
440,13565,13755
444,13605,13940
448,13578,13918
452,13744,13944
456,13787,14181
460,13823,14050
464,13945,14218
468,14043,14283
472,14013,14393
476,14099,14435
480,14229,14545
484,14274,14438
488,14216,14524
492,14413,14703
496,14488,14698
500,14447,14887
504,14589,14907
508,14606,14869
512,14736,14880
516,14760,15061
520,14894,15203
524,14872,15095
528,15015,15221
532,14974,15185
536,15077,15402
540,15115,15318
544,15233,15403
548,15193,15480
552,15309,15581
556,15420,15651
560,15394,15878
564,15420,15733
568,15605,15859
572,15609,15882
576,15643,16024
580,15669,15988
584,15777,16013
588,15785,16085
592,15907,16251
596,15911,16151
600,15847,16219
604,15981,16320
608,16252,16452
612,16243,16587
616,16221,16576
620,16237,16739
624,16280,16693
628,16336,16796
632,16551,16769
636,16466,16792
640,16702,16914
644,16668,17035
648,16654,16828
652,16876,17271
656,16739,17149
660,16818,17135
664,16872,17321
668,16958,17246
672,16957,17285
676,17094,17313
680,17128,17418
684,17162,17496
688,17303,17443
692,17349,17547
696,17359,17719
700,17557,17895
704,17540,17887
708,17453,18035
712,17653,17951
716,17621,18137
720,17737,18033
724,17647,18156
728,17790,18092
732,18006,18227
736,18010,18210
740,18025,18333
744,17871,18349
748,18051,18464
752,18182,18498
756,18161,18565
760,18254,18534
764,18467,18720
768,18342,18654
772,18302,18687
776,18516,18820
780,18619,18824
784,18403,18933
788,18534,19046
792,18435,18994
796,18749,19059
800,18535,19121
804,18932,19082
808,19010,19126
812,18761,19123
816,19037,19207
820,19039,19326
824,19110,19458
828,19110,19436
832,19266,19396
836,19252,19529
840,19388,19700
844,19430,19623
848,19350,19768
852,19438,19845
856,19444,19820
860,19655,19778
864,19547,19663
868,19487,19925
872,19705,19911
876,19740,19961
880,19575,20028
884,19730,20071
888,19745,19944
892,19845,20277
896,19826,20079
900,20028,20276
904,19982,20194
908,19973,20257
912,20101,20305
916,19979,20248
920,19957,20428
924,20201,20233
928,20094,20435
932,20448,20408
936,20379,20316
940,20396,20446
944,20357,20525
948,20365,20675
952,20493,20802
956,20359,20800
960,20594,20957
964,20604,20662
968,20550,20821
972,20572,20849
976,20705,20662
980,20776,20771
984,20673,20838
988,20790,20711
992,20637,20808
996,20803,20971
1000,20618,20910
1004,20903,20949
1008,20862,21077
1012,20757,21119
1016,20913,20953
1020,20807,20940
1024,20908,21037
1028,21075,21097
1032,21108,21117
1036,21009,21041
1040,20997,21213
1044,21017,20987
1048,21023,21071
1052,21005,21341
1056,20988,21051
1060,20964,21157
1064,21076,21027
1068,21158,21089
1072,21142,21042
1076,21154,21237
1080,21123,21079
1084,21222,21113
1088,21167,21209
1092,21187,21239
1096,21203,21272
1100,21189,21088
1104,21209,21201
1108,21189,21160
1112,21265,21111
1116,21110,21067
1120,21190,21102
1124,21356,21080
1128,21253,21216
1132,21342,21240
1136,21251,21307
1140,21166,21218
1144,21359,21040
1148,21182,21319
1152,21190,21093
1156,21281,21133
1160,21212,21347
1164,21435,21149
1168,20920,21173
1172,21223,21292
1176,21257,21200
1180,21218,20948
1184,21247,21047
1188,21331,21097
1192,21394,21161
1196,21228,21164
1200,21236,21037
1204,21181,21096
1208,21259,21320
1212,21353,21056
1216,21230,21059
1220,21372,21237
1224,21319,21164
1228,21316,21056
1232,21068,21121
1236,21186,21279
1240,21472,21200
1244,21094,21201
1248,21176,21239
1252,21214,21243
1256,21160,21102
1260,21339,21195
1264,21324,21235
1268,21344,21218
1272,21252,21088
1276,21414,21172
1280,21245,21020
1284,21502,21275
1288,21443,21135
1292,21351,21323
1296,21346,21174
1300,21377,21257
1304,21202,21149
1308,21275,21176
1312,21162,21211
1316,21302,21115
1320,21248,21276
1324,21231,21234
1328,21226,21278
1332,21284,20986
1336,21327,21405
1340,21427,21248
1344,21100,21233
1348,21092,21093
1352,21418,21160
1356,21338,21193
1360,21402,21187
1364,21371,21160
1368,21288,21109
1372,21338,21054
1376,21283,21195
1380,21279,21101
1384,21245,21200
1388,21307,21150
1392,21169,21243
1396,21334,21064
1400,21269,21038
1404,21107,21301
1408,21316,20972
1412,21154,21290
1416,21303,21144
1420,21250,20986
1424,21394,21031
1428,21313,21025
1432,21339,21052
1436,21164,21171
1440,21104,21247
1444,21225,21200
1448,21283,21225
1452,21410,21241
1456,21382,20992
1460,21185,21122
1464,21224,21070
1468,21419,21288
1472,21290,21139
1476,21244,21215
1480,21328,21190
1484,21277,21166
1488,21334,21071
1492,21210,21118
1496,21177,21247
1500,21211,21124
1504,21320,21127
1508,21228,21127
1512,21431,21274
1516,21149,21125
1520,21103,21139
1524,21244,21125
1528,21159,21147
1532,21435,21227
1536,21338,21160
1540,21209,21050
1544,21134,21010
1548,21454,21201
1552,21371,21137
1556,21333,21009
1560,21363,21130
1564,21238,21106
1568,21394,21191
1572,21122,21193
1576,21293,20969
1580,21235,21135
1584,21255,21208
1588,21316,21188
1592,21177,21072
1596,21277,21247
1600,21241,21146
1604,21200,21173
1608,21127,21359
1612,21242,21049
1616,21273,21143
1620,21304,21152
1624,21243,21218
1628,21139,21191
1632,21207,21141
1636,21327,21074
1640,21294,21186
1644,21329,21113
1648,21185,21129
1652,21128,21084
1656,21234,20913
1660,21216,21166
1664,21165,21001
1668,21200,21277
1672,21271,21246
1676,21068,21130
1680,21159,21160
1684,21321,21297
1688,21340,21189
1692,21188,21174
1696,21202,21103
1700,21397,21074
1704,21206,21046
1708,21247,21066
1712,21309,21087
1716,21207,21114
1720,21349,21179
1724,21038,21150
1728,21337,20951
1732,21310,21178
1736,21129,21220
1740,21136,20926
1744,21166,20909
1748,21190,21104
1752,21158,21078
1756,21242,21114
1760,21106,21032
1764,21265,20960
1768,21173,21050
1772,21389,21018
1776,21329,21096
1780,21150,21104
1784,21183,20944
1788,21150,21008
1792,21246,20989
1796,21282,21189
1800,20933,21157
1804,21135,21033
1808,21117,21125
1812,21158,21061
1816,21141,21071
1820,21026,21100
1824,21241,21015
1828,21121,21187
1832,21126,21230
1836,21236,21127
1840,21084,21121
1844,21038,21069
1848,21351,21136
1852,21134,21089
1856,21168,21088
1860,21267,21007
1864,21202,20995
1868,21221,21238
1872,21165,21079
1876,21206,20973
1880,21362,21110
1884,21169,21047
1888,21197,20985
1892,21130,21217
1896,21186,21132
1900,21285,20986
1904,21327,21117
1908,21147,21228
1912,21060,21063
1916,21266,21008
1920,21332,21059
1924,20960,21078
1928,21281,21062
1932,21205,21249
1936,21346,21345
1940,21148,21173
1944,21175,21146
1948,21043,20947
1952,21236,21158
1956,21105,21002
1960,21153,21258
1964,21322,21082
1968,21146,21145
1972,21095,21204
1976,21158,20976
1980,21152,21121
1984,21176,21085
1988,21053,21020
1992,21193,20881
1996,21085,20946
2000,21310,21143
2004,21170,20950
2008,21209,21224
2012,21078,20974
2016,21178,21208
2020,21201,21027
2024,21149,21090
2028,21119,20979
2032,21297,20970
2036,21207,20935
2040,21306,21066
2044,21207,21126
2048,21181,21035
2052,21223,21064
2056,21167,21053
2060,21058,21081
2064,21209,21117
2068,21211,21028
2072,21193,21134
2076,21273,20977
2080,21069,21040
2084,21175,21066
2088,21044,21091
2092,21179,21162
2096,21138,21080
2100,21207,21022
2104,21151,21240
2108,21184,21155
2112,21112,20975
2116,21294,20981
2120,21187,21105
2124,21319,20964
2128,21164,21201
2132,21203,21058
2136,21356,21123
2140,21150,21117
2144,21299,20887
2148,21219,21149
2152,21120,21019
2156,21234,21059
2160,21005,20953
2164,21173,21118
2168,21125,21028
2172,20980,21073
2176,21082,21024
2180,21090,20914
2184,21172,20989
2188,21115,20987
2192,21069,21002
2196,21006,21034
2200,21307,21071
2204,21125,20974
2208,21008,20986
2212,21204,21149
2216,21184,21018
2220,21144,21010
2224,21140,21181
2228,21239,20940
2232,21052,21166
2236,21274,21065
2240,21243,21034
2244,20938,21082
2248,21223,21034
2252,21035,20946
2256,21106,20947
2260,21044,20976
2264,21104,21000
2268,21082,21075
2272,21150,20930
2276,21155,21044
2280,21168,20925
2284,21317,20990
2288,21207,20948
2292,21095,21083
2296,21147,20955
2300,21148,20959
2304,21115,21056
2308,21098,21001
2312,21049,20953
2316,21188,20889
2320,21072,20895
2324,21255,21036
2328,20929,21081
2332,21067,20873
2336,20933,21173
2340,21100,20962
2344,20998,20965
2348,20946,20973
2352,20934,20921
2356,21136,21053
2360,21109,20866
2364,21250,21089
2368,21184,21190
2372,21075,21104
2376,21110,21068
2380,21224,21086
2384,21104,21094
2388,21101,20898
2392,21018,21041
2396,21117,20962
2400,21146,20993
2404,21049,20988
2408,21238,21053
2412,20915,20916
2416,21112,20968
2420,21197,21087
2424,21094,21124
2428,21360,21014
2432,21125,20784
2436,21121,20910
2440,20956,20910
2444,21116,21039
2448,21001,20829
2452,21006,20836
2456,21187,21148
2460,21006,21015
2464,21082,21047
2468,21141,21061
2472,21107,20909
2476,21181,20820
2480,21089,20909
2484,21086,21035
2488,21100,21137
2492,20979,20893
2496,20979,20949
2500,21255,20888
2504,21144,21108
2508,21129,20933
2512,21130,20904
2516,21247,20874
2520,21185,20972
2524,21266,21039
2528,21120,20990
2532,21109,21064
2536,21021,21016
2540,21097,20899
2544,21024,21046
2548,21214,20945
2552,21147,21021
2556,21051,21008
2560,20943,20892
2564,21024,20892
2568,21146,21031
2572,21164,20932
2576,21019,21085
2580,21190,20855
2584,21243,21029
2588,21084,20790
2592,21118,20976
2596,21135,21076
2600,21138,20818
2604,21042,20874
2608,21060,21071
2612,21047,20980
2616,21113,21094
2620,21116,20954
2624,21065,20957
2628,21175,20864
2632,21112,21067
2636,20991,20919
2640,21032,21054
2644,21003,20866
2648,21077,21122
2652,21127,21002
2656,21212,20933
2660,21121,20894
2664,21055,20996
2668,21032,20878
2672,20997,20850
2676,20978,21062
2680,20933,21007
2684,21250,20959
2688,21044,20906
2692,21078,21015
2696,20910,20908
2700,21119,20978
2704,21096,21187
2708,21236,20956
2712,21025,20996
2716,21085,21124
2720,21052,20798
2724,21134,21156
2728,21082,20913
2732,21105,21038
2736,21048,21040
2740,21083,20916
2744,21044,20820
2748,20935,20848
2752,20898,20927
2756,20923,21019
2760,20936,20872
2764,21166,20881
2768,20999,20869
2772,20924,20784
2776,21106,20762
2780,21193,20960
2784,21064,20882
2788,21178,20979
2792,21140,20850
2796,21129,21072
2800,20984,20904
2804,21130,20929
2808,20945,20826
2812,21088,20956
2816,21091,20907
2820,20855,20893
2824,21071,20947
2828,21141,21031
2832,21043,20873
2836,20972,21027
2840,20895,20974
2844,21160,20861
2848,20979,20887
2852,20885,20865
2856,20921,20945
2860,20948,20864
2864,21105,20955
2868,21126,20830
2872,21130,20908
2876,21057,20900
2880,20974,21004
2884,21118,20836
2888,21088,20908
2892,21124,20749
2896,21030,20969
2900,21248,20921
2904,20997,21007
2908,20871,20729
2912,20977,20716
2916,21093,20820
2920,21093,20732
2924,21122,20988
2928,21141,21050
2932,20886,20833
2936,21066,20945
2940,20946,20989
2944,21074,20946
2948,20960,20925
2952,21063,20977
2956,20966,20935
2960,21076,20815
2964,21026,20911
2968,20914,21028
2972,21211,20766
2976,20908,20960
2980,21027,20762
2984,21211,20992
2988,21052,20915
2992,21195,20819
2996,21015,21005
3000,21185,21037
3004,20962,20911
3008,21044,20964
3012,20947,20820
3016,20973,21075
3020,21044,20769
3024,21079,21029
3028,21144,20921
3032,21164,20766
3036,21040,20641
3040,20945,20824
3044,21120,20907
3048,21114,20876
3052,21102,20845
3056,21205,21137
