Time [s],C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
0,28951,26960,14875,14005,6879,6024,3960,3094,2574,1701,596,207
5,28949,26677,14783,14068,6789,6064,3972,3030,2619,1700,631,208
10,29118,26676,14702,14072,6850,6196,3956,3074,2499,1698,616,198
15,28861,26671,14807,14098,6877,6114,3978,3044,2558,1680,594,212
20,29204,26358,14797,13923,6841,5974,3858,2941,2559,1614,609,194
25,29355,26616,14885,14134,6899,6007,3963,2805,2530,1697,625,173
30,28768,26415,14814,14194,6626,6126,3885,2892,2521,1677,550,208
35,28827,26585,14694,14004,6799,6054,3856,2794,2548,1634,550,189
40,28891,26331,14770,14005,6778,6048,3931,2825,2624,1638,551,210
45,28649,26357,14897,14178,6757,6033,3967,2815,2496,1652,553,202
50,28729,26479,14716,13981,6782,6097,3780,2813,2473,1622,527,208
55,29074,26492,14537,13941,6816,6071,3919,2820,2539,1609,548,190
60,28999,26359,14459,13944,6712,6199,3870,2708,2505,1663,564,200
65,28853,26678,14548,14058,6748,5981,3887,2833,2480,1625,525,205
70,28919,26341,14738,13956,6802,5900,3944,2808,2432,1612,542,187
75,28888,26157,14784,13951,6680,6015,3843,2752,2563,1604,512,201
80,28640,26196,14589,13894,6804,5964,3849,2740,2519,1623,508,186
85,28938,26457,14591,13906,6669,6135,3796,2768,2480,1567,541,167
90,28967,26331,14517,13949,6653,5904,3925,2734,2449,1520,535,202
95,28970,26331,14479,13890,6742,5988,3847,2744,2514,1588,521,189
100,28836,26530,14593,13972,6554,6026,3782,2682,2441,1571,507,192
105,28556,26214,14657,14013,6691,6049,3800,2724,2493,1538,513,211
110,28476,26189,14517,13948,6665,6079,3788,2721,2418,1539,503,174
115,28934,26196,14485,13875,6667,5940,3813,2670,2507,1584,495,189
120,28584,26091,14605,13913,6546,5944,3843,2714,2437,1500,524,178
125,28297,26273,14446,13679,6678,6010,3866,2691,2438,1549,495,179
130,28835,26235,14434,13864,6567,5928,3757,2681,2479,1513,485,187
135,28664,26332,14496,13731,6514,6059,3731,2683,2385,1538,503,211
140,28517,25882,14470,13827,6515,5966,3706,2631,2432,1511,507,194
145,28576,25900,14538,13615,6455,5894,3815,2559,2374,1540,493,190
150,28219,26190,14442,13854,6509,5861,3718,2626,2374,1506,477,160
155,28571,26108,14635,13736,6622,5996,3732,2616,2435,1481,504,180
160,28482,26170,14620,13630,6462,5857,3745,2621,2362,1509,471,185
165,28662,26273,14218,13876,6552,6008,3735,2620,2402,1479,456,189
170,28297,26329,14404,13852,6589,5942,3809,2667,2396,1507,497,167
175,28594,26062,14343,13610,6708,5858,3720,2616,2395,1478,462,187
180,28306,26192,14376,13760,6450,5783,3662,2666,2405,1512,506,167
185,28585,26136,14534,13678,6565,5835,3743,2593,2323,1423,501,173
190,28249,26205,14424,13870,6523,5856,3650,2586,2340,1451,456,172
195,28277,25855,14295,13889,6410,5799,3664,2607,2348,1412,473,175
200,28198,25936,14277,13825,6351,5809,3663,2566,2398,1508,453,192
205,28376,25925,14361,13518,6506,5717,3627,2554,2324,1459,467,162
210,28176,25943,14039,13614,6474,5737,3758,2569,2366,1468,500,188
215,28196,25827,14145,13477,6444,5719,3716,2563,2290,1381,473,169
220,28261,26148,14403,13489,6481,5862,3621,2586,2378,1480,476,204
225,27995,25794,14269,13742,6540,5751,3605,2542,2309,1416,475,177
230,28662,26000,14296,13454,6389,5762,3686,2529,2302,1429,482,190
235,28299,25888,14283,13626,6351,5764,3546,2475,2276,1379,467,166
240,28187,26219,14252,13516,6269,5683,3650,2461,2291,1451,473,184
245,28341,26059,14272,13398,6382,5713,3620,2552,2259,1416,463,172
250,28253,25687,13883,13575,6293,5571,3550,2509,2260,1427,433,162
255,27994,25658,14072,13416,6357,5569,3572,2507,2294,1474,468,178
260,28083,25617,14052,13427,6268,5615,3581,2502,2306,1424,472,193
265,27715,25853,14207,13544,6459,5546,3585,2463,2357,1420,458,168
270,27751,25708,14243,13466,6454,5629,3675,2454,2244,1378,439,175
275,27700,25489,13861,13323,6438,5600,3594,2462,2267,1398,440,173
280,28218,25890,14178,13315,6382,5635,3602,2441,2272,1390,449,189
285,28136,25575,14211,13179,6373,5540,3560,2494,2259,1423,469,164
290,28147,25840,14064,13299,6283,5614,3569,2515,2281,1387,436,163
295,27474,25260,13954,13138,6239,5550,3505,2461,2252,1380,476,165
