sample,conc,GEF_conc,perc_curve,date,k_guess,k_background_guess,span_guess,span_background_guess,fluorescence_plateau_guess,k_lb,k_ub,k_background_lb,k_background_ub,span_lb,span_ub,span_background_lb,span_background_ub,fluorescence_plateau_lb,fluorescence_plateau_ub
WT_GSP1_1,10,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_2,5,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_3,2.5,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_4,1.25,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_5,1,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_6,0.5,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_7,0.25,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_8,0.125,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_9,0.1,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_10,0.05,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_11,0.025,5,1,20230621,,,,,,,,,,,,,,,
WT_GSP1_12,0,5,1,20230621,,,,,,,,,,,,,,,
